,K,NDTR,ret
0,5,150,-3.0842270090864544e-05
1,5,200,-1.5428337323657077e-05
2,5,250,-1.1462767443847117e-05
3,5,300,-3.292373232477363e-06
4,5,350,1.3407930691988856e-05
5,5,400,-8.042879371273766e-06
6,5,450,-7.888374938006725e-07
7,5,500,5.421702718095739e-07
8,5,550,2.4718931135797585e-05
9,5,600,-9.228245453651343e-06
10,5,650,-5.782705635909832e-07
11,5,700,-3.840833459604204e-06
12,5,750,2.7933869618389995e-06
13,5,800,1.1347550240499552e-05
14,5,850,9.98655918507182e-06
15,5,900,-1.5163256101979669e-05
16,5,950,0.0
17,5,1000,-8.935798408200977e-06
18,5,1050,-2.7218997048643496e-05
19,5,1100,-2.1695782964524024e-05
20,5,1150,-2.745101197205184e-05
21,5,1200,-2.3176114492202292e-05
22,5,1250,-4.1127155958105494e-05
23,5,1300,-7.968105806037596e-06
24,5,1350,-1.4772703241963892e-05
25,5,1400,-9.780548007380829e-06
26,5,1450,-1.0615634870969846e-05
27,5,1500,0.0
28,5,1550,-3.562496078834888e-06
29,5,1600,4.907639143334878e-06
30,5,1650,1.0862478632356689e-06
31,5,1700,7.101074272699846e-06
32,5,1750,0.0
33,5,1800,0.0
34,5,1850,0.0
35,5,1900,0.0
36,5,1950,0.0
37,5,2000,6.500541687652823e-06
38,5,2050,9.40427143592625e-06
39,5,2100,-8.414590785928533e-07
40,5,2150,-2.842494120372806e-06
41,5,2200,2.2495965226498298e-05
42,5,2250,-6.8348861410456254e-06
43,5,2300,-6.0405229629566704e-06
44,5,2350,1.1657658771250494e-05
45,5,2400,-1.6488148096418109e-06
46,5,2450,-4.779348798846723e-06
47,5,2500,1.1440864240134808e-06
48,5,2550,-5.76332057871021e-05
49,5,2600,-5.6218646823332406e-05
50,5,2650,-6.85172915465251e-05
51,5,2700,-8.98339116662904e-05
52,5,2750,-8.09736496940429e-05
53,5,2800,-7.448415596413459e-05
54,5,2850,-7.437495237771231e-05
55,5,2900,-9.625419235947292e-05
56,5,2950,-6.438933461464679e-05
57,5,3000,-6.579001308580088e-05
58,5,3050,-7.41455411620497e-05
59,5,3100,-3.641265825694332e-05
60,5,3150,-3.376415532943042e-05
61,5,3200,-3.7711541794873877e-05
62,5,3250,2.632257395275544e-05
63,5,3300,1.620785579341147e-05
64,5,3350,3.93453800803455e-05
65,5,3400,3.7051157350074574e-05
66,5,3450,4.052368325458966e-05
67,5,3500,3.445311535567192e-05
68,5,3550,4.4743998757932655e-05
69,5,3600,4.6602278575928044e-05
70,5,3650,3.273570303539614e-05
71,5,3700,0.00010171857438869064
72,5,3750,0.0001235180862475299
73,5,3800,9.264504180157849e-05
74,5,3850,0.00011704329592382434
75,5,3900,0.00012917800025117983
76,5,3950,0.00014163097370242442
77,10,150,-3.03222937231146e-05
78,10,200,-1.8605799609579235e-05
79,10,250,-1.461483144200774e-05
80,10,300,-8.004611774524795e-06
81,10,350,1.088446649459816e-05
82,10,400,-4.213483176740001e-06
83,10,450,7.654627372975405e-06
84,10,500,9.144320347404032e-06
85,10,550,2.5454168774338737e-05
86,10,600,-9.906687687693479e-06
87,10,650,3.6237607206572685e-06
88,10,700,-1.1473645497044969e-05
89,10,750,6.874946082012724e-06
90,10,800,1.8633481191337003e-05
91,10,850,4.0174192403542565e-06
92,10,900,-1.6563990034535036e-05
93,10,950,-1.8024584904318873e-05
94,10,1000,-8.914045005038246e-06
95,10,1050,-2.516456263618089e-05
96,10,1100,-2.126628890870831e-05
97,10,1150,-2.7524912046746516e-05
98,10,1200,-3.32694240692761e-05
99,10,1250,-3.97419476053903e-05
100,10,1300,-4.368507504649106e-06
101,10,1350,-1.5274504326511284e-05
102,10,1400,-7.831236543861738e-06
103,10,1450,-1.1524766631849003e-05
104,10,1500,-1.317149204539282e-05
105,10,1550,-4.724966231620753e-07
106,10,1600,6.59870753881519e-06
107,10,1650,0.0
108,10,1700,0.0
109,10,1750,0.0
110,10,1800,0.0
111,10,1850,-1.94508828728443e-06
112,10,1900,-8.10985490075145e-06
113,10,1950,-2.312751091585022e-06
114,10,2000,4.782414093992878e-06
115,10,2050,4.551129842823863e-06
116,10,2100,-1.8428270113913748e-06
117,10,2150,9.926834752501908e-05
118,10,2200,2.888760049181238e-05
119,10,2250,-2.102602350958866e-06
120,10,2300,-4.677549941375313e-06
121,10,2350,8.00595317421388e-06
122,10,2400,6.389953850348702e-06
123,10,2450,2.7319326016608482e-05
124,10,2500,4.785432138934788e-05
125,10,2550,-0.0017473190173431224
126,10,2600,-0.00031980650436139743
127,10,2650,-8.508730170957794e-05
128,10,2700,-0.0001194277872531008
129,10,2750,-0.00010485153336757979
130,10,2800,-9.697144865173067e-05
131,10,2850,-7.616808224215295e-05
132,10,2900,-7.578097794400683e-05
133,10,2950,-8.495655720248872e-05
134,10,3000,-8.595865050461429e-05
135,10,3050,-7.605217009280603e-05
136,10,3100,-3.345840823891322e-05
137,10,3150,-2.7056312591942924e-05
138,10,3200,-5.431717070435739e-05
139,10,3250,1.2755902259475568e-05
140,10,3300,8.629716333700019e-07
141,10,3350,-1.1770694354194034e-05
142,10,3400,3.710218674684191e-05
143,10,3450,2.9685575514626713e-05
144,10,3500,3.1923958565171295e-05
145,10,3550,4.378747431060808e-05
146,10,3600,4.3258817803857306e-05
147,10,3650,3.403399808825562e-05
148,10,3700,9.168338771423705e-05
149,10,3750,0.0001213051485853382
150,10,3800,9.231032256382561e-05
151,10,3850,0.00011675454765079494
152,10,3900,0.00012534509273486583
153,10,3950,0.0001452154445308364
154,15,150,0.0
155,15,200,-1.678404841171958e-05
156,15,250,-1.421607240184189e-05
157,15,300,-7.01197405013385e-06
158,15,350,7.454095434212249e-06
159,15,400,-5.098018665966511e-06
160,15,450,7.039084232089333e-06
161,15,500,1.16674874013243e-05
162,15,550,1.967644705757331e-05
163,15,600,-1.2137544154129372e-05
164,15,650,2.8790982613345937e-06
165,15,700,-5.317163579949011e-06
166,15,750,3.1760144394962454e-06
167,15,800,1.7991197372819363e-05
168,15,850,5.643589001557276e-06
169,15,900,-2.0948560846873714e-05
170,15,950,-1.7942188898282306e-05
171,15,1000,-1.1632482389657563e-05
172,15,1050,-2.1054891382870462e-05
173,15,1100,-2.5177754008140514e-05
174,15,1150,-2.4139948493283474e-05
175,15,1200,-3.1619820514621765e-05
176,15,1250,-3.5730134058028294e-05
177,15,1300,2.966913648500072e-07
178,15,1350,-1.4514167857186044e-05
179,15,1400,-1.5010818917532566e-05
180,15,1450,-8.480115364779641e-06
181,15,1500,6.333143157554926e-05
182,15,1550,8.644753086769625e-07
183,15,1600,7.306362113942895e-06
184,15,1650,1.7326780092819109e-06
185,15,1700,-9.278495781525731e-07
186,15,1750,0.0
187,15,1800,0.0
188,15,1850,0.0
189,15,1900,0.0
190,15,1950,0.0
191,15,2000,0.0
192,15,2050,0.0
193,15,2100,0.0
194,15,2150,0.0
195,15,2200,0.0
196,15,2250,0.0
197,15,2300,0.0
198,15,2350,0.0
199,15,2400,0.0
200,15,2450,0.0
201,15,2500,0.0
202,15,2550,0.0
203,15,2600,0.0
204,15,2650,0.0
205,15,2700,0.0
206,15,2750,0.0
207,15,2800,0.0
208,15,2850,0.0
209,15,2900,0.0
