,K,NDTR,ret
0,5,150,-3.03222937231146e-05
1,5,200,-1.8605799609579235e-05
2,5,250,-1.461483144200774e-05
3,5,300,-8.004611774524795e-06
4,5,350,1.088446649459816e-05
5,5,400,-4.213483176740001e-06
6,5,450,7.654627372975405e-06
7,5,500,9.144320347404032e-06
8,5,550,2.5454168774338737e-05
9,5,600,-9.906687687693479e-06
10,5,650,3.6237607206572685e-06
11,5,700,-1.1473645497044969e-05
12,5,750,6.874946082012724e-06
13,5,800,1.8633481191337003e-05
14,5,850,4.0174192403542565e-06
15,5,900,-1.6563990034535036e-05
16,5,950,0.0
17,5,1000,-8.914045005038246e-06
18,5,1050,-2.516456263618089e-05
19,5,1100,0.0
20,5,1150,-2.7524912046746516e-05
21,5,1200,0.0
22,5,1250,0.0
23,5,1300,0.0
24,5,1350,0.0
25,5,1400,0.0
26,5,1450,0.0
27,5,1500,0.0
28,5,1550,-4.724966231620753e-07
29,5,1600,6.59870753881519e-06
30,5,1650,-6.146913722207641e-07
31,5,1700,2.835615895443797e-06
32,5,1750,2.102807061218911e-06
33,5,1800,-6.691297345445615e-06
34,5,1850,-1.94508828728443e-06
35,5,1900,-8.10985490075145e-06
36,5,1950,-2.312751091585022e-06
37,5,2000,4.782414093992878e-06
38,5,2050,4.551129842823863e-06
39,5,2100,-1.8428270113913748e-06
40,5,2150,-1.4787772601966669e-06
41,5,2200,1.1433061499440886e-05
42,5,2250,-6.073067361288782e-06
43,5,2300,-4.543053816463507e-06
44,5,2350,9.212267298932728e-06
45,5,2400,1.8272680638177446e-06
46,5,2450,-5.940784028832802e-06
47,5,2500,5.257955631613705e-06
48,5,2550,-5.508325465594267e-05
49,5,2600,-5.12674167413044e-05
50,5,2650,-6.642679263707704e-05
51,5,2700,-8.673792956358636e-05
52,5,2750,-7.283749197150044e-05
53,5,2800,-7.16806840014407e-05
54,5,2850,-7.34791139656395e-05
55,5,2900,-8.358018474216668e-05
56,5,2950,-6.443980023745005e-05
57,5,3000,-6.191367272871155e-05
58,5,3050,-6.93701652158113e-05
59,5,3100,-4.041894809454364e-05
60,5,3150,-3.089700075030594e-05
61,5,3200,-3.928924866737318e-05
62,5,3250,2.8149072408037216e-05
63,5,3300,1.8259498423779963e-05
64,5,3350,3.912767919545994e-05
65,5,3400,5.146325180671889e-05
66,5,3450,3.059647332499659e-05
67,5,3500,3.1923958565171295e-05
68,5,3550,4.378747431060808e-05
69,5,3600,4.3258817803857306e-05
70,5,3650,3.403399808825562e-05
71,5,3700,9.744883416931598e-05
72,5,3750,0.0001270282782391727
73,5,3800,9.807487339769081e-05
74,5,3850,0.00012248417816310736
75,5,3900,0.00013106245103991526
76,5,3950,0.0001452154445308364
77,10,150,-2.7737674761788462e-05
78,10,200,-1.678404841171958e-05
79,10,250,-1.421607240184189e-05
80,10,300,-7.01197405013385e-06
81,10,350,7.454095434212249e-06
82,10,400,-5.098018665966511e-06
83,10,450,7.039084232089333e-06
84,10,500,1.16674874013243e-05
85,10,550,1.967644705757331e-05
86,10,600,-1.2137544154129372e-05
87,10,650,2.8790982613345937e-06
88,10,700,-5.317163579949011e-06
89,10,750,3.1760144394962454e-06
90,10,800,1.7991197372819363e-05
91,10,850,5.643589001557276e-06
92,10,900,-2.0948560846873714e-05
93,10,950,0.0
94,10,1000,0.0
95,10,1050,0.0
96,10,1100,0.0
97,10,1150,0.0
98,10,1200,0.0
99,10,1250,0.0
100,10,1300,0.0
101,10,1350,0.0
102,10,1400,0.0
103,10,1450,0.0
104,10,1500,0.0
105,10,1550,0.0
106,10,1600,0.0
107,10,1650,0.0
108,10,1700,0.0
109,10,1750,0.0
110,10,1800,0.0
111,10,1850,0.0
112,10,1900,0.0
113,10,1950,-5.521426332142331e-06
114,10,2000,4.124689514373619e-06
115,10,2050,-2.0400700645833173e-06
116,10,2100,-2.317217323223411e-06
117,10,2150,-5.456651251262109e-06
118,10,2200,2.140888238921719e-06
119,10,2250,-2.4417229697418764e-06
120,10,2300,-1.4014766827348288e-06
121,10,2350,3.985540416846711e-06
122,10,2400,6.880346772172057e-07
123,10,2450,-5.300763594678412e-06
124,10,2500,1.9895636418198454e-06
125,10,2550,-6.336692415965107e-05
126,10,2600,-5.173947932938607e-05
127,10,2650,-7.199959708037601e-05
128,10,2700,-9.142290273768828e-05
129,10,2750,-6.745976462440723e-05
130,10,2800,-6.878424475038551e-05
131,10,2850,-7.299110326654617e-05
132,10,2900,-7.261579625739439e-05
133,10,2950,-7.019332946344934e-05
134,10,3000,-6.225959838153711e-05
135,10,3050,-4.9292902595066255e-05
136,10,3100,-4.123583050088842e-05
137,10,3150,-3.486279161350422e-05
138,10,3200,-3.777900681962867e-05
139,10,3250,2.82680864413178e-05
140,10,3300,1.9128285552308623e-05
141,10,3350,4.4765360188048864e-05
142,10,3400,4.714450802874781e-05
143,10,3450,3.193102341044706e-05
144,10,3500,3.0821302712405024e-05
145,10,3550,4.3401565462342294e-05
146,10,3600,4.1234216326318436e-05
147,10,3650,4.107786585765214e-05
148,10,3700,9.988189388601973e-05
149,10,3750,0.00010264435387961096
150,10,3800,0.00010151938633579704
151,10,3850,0.00012533315239012595
152,10,3900,0.00013455201287552098
153,10,3950,0.00014347639487575597
154,15,150,-2.9507423313693317e-05
155,15,200,-9.84338446345595e-06
156,15,250,-2.0666056700371305e-05
157,15,300,6.088576151057943e-06
158,15,350,1.0181250909681959e-05
159,15,400,-9.093803871864867e-06
160,15,450,5.223350855350228e-06
161,15,500,1.0137780622923457e-05
162,15,550,1.7965632231696793e-05
163,15,600,-1.0806336938882287e-05
164,15,650,5.624673379311444e-07
165,15,700,-2.7858543739000676e-06
166,15,750,5.516337194342964e-06
167,15,800,1.4303409564418445e-05
168,15,850,4.791064037189863e-06
169,15,900,-2.69059134090522e-05
170,15,950,-1.6582757891225555e-05
171,15,1000,0.0
172,15,1050,0.0
173,15,1100,0.0
174,15,1150,-2.1127242977710583e-05
175,15,1200,-3.32963498923272e-05
176,15,1250,-3.541145789766644e-05
177,15,1300,5.871958378098534e-07
178,15,1350,-1.514585022105537e-05
179,15,1400,-1.515096362874414e-05
180,15,1450,-5.611296374381023e-06
181,15,1500,0.0
182,15,1550,0.0
183,15,1600,0.0
184,15,1650,0.0
185,15,1700,0.0
186,15,1750,0.0
187,15,1800,0.0
188,15,1850,0.0
189,15,1900,0.0
190,15,1950,0.0
191,15,2000,9.036814015680194e-06
192,15,2050,9.615252651569576e-08
193,15,2100,1.7596106662334302e-06
194,15,2150,-2.182025925099873e-06
195,15,2200,8.155869784185442e-07
196,15,2250,-4.868363597614245e-06
197,15,2300,-4.360373498216213e-07
198,15,2350,4.821407637956137e-06
199,15,2400,4.294423936888941e-07
200,15,2450,-4.909438629411741e-06
201,15,2500,-4.228441106775582e-05
202,15,2550,-6.34328454308774e-05
203,15,2600,-5.37083207389826e-05
204,15,2650,-7.367051600310959e-05
205,15,2700,-9.174702301294229e-05
206,15,2750,-6.753660301571218e-05
207,15,2800,-7.069301026594908e-05
208,15,2850,-7.846106488649103e-05
209,15,2900,-6.76268109311556e-05
210,15,2950,-6.823087846270831e-05
211,15,3000,-6.556513496082345e-05
